"Date","Price","Open","High","Low","Change %"
"Jul 28, 2020","5.727","5.753","5.797","5.727","0.07%"
"Jul 27, 2020","5.723","5.754","5.754","5.700","0.79%"
"Jul 24, 2020","5.678","5.700","5.700","5.676","0.07%"
"Jul 23, 2020","5.674","5.695","5.695","5.674","-0.16%"
"Jul 22, 2020","5.683","5.693","5.693","5.671","0.18%"
"Jul 21, 2020","5.673","5.713","5.713","5.647","0.60%"
"Jul 20, 2020","5.639","5.653","5.653","5.632","0.27%"
"Jul 17, 2020","5.624","5.653","5.653","5.624","-0.02%"
"Jul 16, 2020","5.625","5.652","5.714","5.625","-0.16%"
"Jul 15, 2020","5.634","5.655","5.655","5.632","-0.21%"
"Jul 14, 2020","5.646","5.646","5.715","5.627","0.52%"
"Jul 13, 2020","5.617","5.664","5.664","5.617","0.07%"
"Jul 10, 2020","5.613","5.661","5.672","5.613","-1.04%"
"Jul 09, 2020","5.672","5.676","5.708","5.667","-0.19%"
"Jul 08, 2020","5.683","5.700","5.703","5.671","-0.16%"
"Jul 07, 2020","5.692","5.795","5.795","5.692","-1.47%"
"Jul 06, 2020","5.777","5.792","5.792","5.777","-0.16%"
"Jul 03, 2020","5.786","5.787","5.804","5.779","0.23%"
"Jul 02, 2020","5.773","5.780","5.806","5.768","0.24%"
"Jul 01, 2020","5.759","5.823","5.823","5.754","-0.72%"
"Jun 30, 2020","5.801","5.839","5.839","5.801","-0.43%"
"Jun 29, 2020","5.826","5.893","5.893","5.824","-0.72%"
"Jun 26, 2020","5.868","5.890","5.890","5.864","-0.10%"
"Jun 25, 2020","5.874","5.929","5.929","5.873","-0.63%"
"Jun 24, 2020","5.911","5.930","5.930","5.886","0.24%"
"Jun 23, 2020","5.897","5.947","5.947","5.890","0.26%"
"Jun 22, 2020","5.882","5.896","5.904","5.843","0.20%"
"Jun 19, 2020","5.870","5.913","5.983","5.863","-0.34%"
"Jun 18, 2020","5.890","5.966","5.966","5.890","-0.88%"
"Jun 17, 2020","5.942","5.966","5.966","5.930","0.10%"
"Jun 16, 2020","5.936","5.923","5.984","5.900","0.64%"
"Jun 15, 2020","5.898","5.924","5.941","5.889","-0.05%"
"Jun 12, 2020","5.901","5.915","5.941","5.901","0.07%"
"Jun 11, 2020","5.897","5.904","5.908","5.887","-0.12%"
"Jun 10, 2020","5.904","5.934","5.934","5.898","-0.27%"
"Jun 09, 2020","5.920","5.939","5.950","5.917","-0.54%"
"Jun 08, 2020","5.952","5.986","6.004","5.940","0.15%"
"Jun 05, 2020","5.943","5.952","5.969","5.935","0.27%"
"Jun 04, 2020","5.927","5.988","5.988","5.927","-0.50%"
"Jun 03, 2020","5.957","5.988","5.988","5.955","0.32%"
"Jun 02, 2020","5.938","6.049","6.049","5.938","-0.52%"
"Jun 01, 2020","5.969","6.002","6.023","5.947","0.69%"
"May 29, 2020","5.928","5.926","5.954","5.909","0.19%"
"May 28, 2020","5.917","5.938","5.938","5.917","0.20%"
"May 27, 2020","5.905","5.912","5.921","5.891","0.08%"
"May 26, 2020","5.900","5.947","5.947","5.895","0.02%"
"May 22, 2020","5.899","5.990","5.990","5.878","-1.49%"
"May 21, 2020","5.988","6.052","6.052","5.978","-0.27%"
"May 20, 2020","6.004","6.078","6.078","6.004","0.05%"
"May 19, 2020","6.001","6.078","6.078","6.001","-0.28%"
"May 18, 2020","6.018","6.044","6.079","6.018","-0.15%"
"May 15, 2020","6.027","6.062","6.062","6.027","-0.02%"
"May 14, 2020","6.028","6.080","6.080","5.997","-0.77%"
"May 13, 2020","6.075","6.149","6.149","6.075","-0.77%"
"May 12, 2020","6.122","6.185","6.185","6.091","0.11%"
"May 11, 2020","6.115","6.185","6.220","6.089","3.14%"
"May 08, 2020","5.929","6.037","6.037","5.929","-0.82%"
"May 06, 2020","5.978","6.081","6.081","5.978","-1.42%"
"May 05, 2020","6.064","6.168","6.168","6.064","-1.16%"
"May 04, 2020","6.135","6.282","6.282","6.134","-0.26%"
"Apr 30, 2020","6.151","6.203","6.203","6.151","-0.18%"
"Apr 29, 2020","6.162","6.253","6.253","6.162","-0.06%"
"Apr 28, 2020","6.166","6.187","6.187","6.135","0.37%"
"Apr 27, 2020","6.143","6.256","6.256","6.143","-1.27%"
"Apr 24, 2020","6.222","6.169","6.230","6.126","2.13%"
"Apr 23, 2020","6.092","6.219","6.219","6.075","-2.15%"
"Apr 22, 2020","6.226","6.257","6.300","6.226","0.26%"
"Apr 21, 2020","6.210","6.240","6.240","6.191","-0.34%"
"Apr 20, 2020","6.231","6.379","6.379","6.222","-2.46%"
"Apr 17, 2020","6.388","6.500","6.521","6.388","-2.17%"
"Apr 16, 2020","6.530","6.663","6.663","6.519","-0.53%"
"Apr 15, 2020","6.565","6.753","6.753","6.565","-1.53%"
"Apr 13, 2020","6.667","6.744","6.744","6.667","-0.61%"
"Apr 09, 2020","6.708","6.788","6.834","6.708","-0.28%"
"Apr 08, 2020","6.727","6.787","6.787","6.727","0.15%"
"Apr 07, 2020","6.717","6.708","6.743","6.658","2.22%"
"Apr 03, 2020","6.571","6.663","6.663","6.562","1.17%"
"Mar 31, 2020","6.495","6.530","6.592","6.462","-0.54%"
"Mar 30, 2020","6.530","6.522","6.555","6.502","0.97%"
"Mar 27, 2020","6.467","6.575","6.610","6.434","-4.09%"
"Mar 26, 2020","6.743","6.770","6.770","6.699","-0.53%"
"Mar 24, 2020","6.779","6.851","6.851","6.770","-1.57%"
"Mar 23, 2020","6.887","6.734","6.905","6.708","3.22%"
"Mar 20, 2020","6.672","6.905","6.905","6.646","-2.58%"
"Mar 19, 2020","6.849","6.752","6.859","6.752","3.05%"
"Mar 18, 2020","6.646","6.654","6.787","6.642","0.00%"
"Mar 17, 2020","6.646","6.637","6.654","6.566","1.48%"
"Mar 16, 2020","6.549","6.601","6.610","6.505","-0.92%"
"Mar 13, 2020","6.610","6.592","6.670","6.591","2.29%"
"Mar 12, 2020","6.462","6.374","6.496","6.374","1.92%"
"Mar 11, 2020","6.340","6.383","6.383","6.330","0.76%"
"Mar 09, 2020","6.292","6.297","6.332","6.245","-0.90%"
"Mar 06, 2020","6.349","6.383","6.383","6.313","-0.49%"
"Mar 05, 2020","6.380","6.401","6.401","6.372","0.20%"
"Mar 04, 2020","6.367","6.436","6.436","6.367","-1.53%"
"Mar 03, 2020","6.466","6.497","6.497","6.461","0.22%"
"Mar 02, 2020","6.452","6.506","6.506","6.435","-0.62%"
"Feb 28, 2020","6.492","6.501","6.569","6.492","-0.17%"
"Feb 27, 2020","6.503","6.469","6.554","6.460","0.65%"
"Feb 26, 2020","6.461","6.452","6.487","6.452","-0.92%"
"Feb 25, 2020","6.521","6.504","6.521","6.487","0.69%"
"Feb 24, 2020","6.476","6.517","6.517","6.476","-0.58%"
"Feb 20, 2020","6.514","6.509","6.538","6.509","0.17%"
"Feb 18, 2020","6.503","6.520","6.520","6.499","0.35%"
"Feb 17, 2020","6.480","6.562","6.562","6.480","-0.12%"
"Feb 14, 2020","6.488","6.496","6.535","6.488","-0.44%"
"Feb 13, 2020","6.517","6.557","6.564","6.517","-0.49%"
"Feb 12, 2020","6.549","6.575","6.575","6.549","-0.14%"
"Feb 11, 2020","6.558","6.558","6.574","6.538","0.21%"
"Feb 10, 2020","6.544","6.559","6.559","6.538","-0.24%"
"Feb 07, 2020","6.560","6.560","6.576","6.542","-0.61%"
"Feb 06, 2020","6.600","6.689","6.689","6.600","-1.84%"
"Feb 05, 2020","6.724","6.733","6.802","6.719","0.25%"
"Feb 04, 2020","6.707","6.699","6.742","6.692","-0.27%"
"Feb 03, 2020","6.725","6.734","6.781","6.725","-1.35%"
"Jan 31, 2020","6.817","6.846","6.846","6.817","0.26%"
"Jan 30, 2020","6.799","6.804","6.839","6.799","-0.28%"
"Jan 29, 2020","6.818","6.844","6.844","6.817","-0.18%"
"Jan 28, 2020","6.830","6.901","6.901","6.825","-0.03%"
"Jan 27, 2020","6.832","6.819","6.836","6.819","0.06%"
"Jan 24, 2020","6.828","6.888","6.888","6.828","-0.26%"
"Jan 23, 2020","6.846","6.862","6.862","6.846","-0.23%"
"Jan 22, 2020","6.862","6.864","6.890","6.855","0.09%"
"Jan 21, 2020","6.856","6.866","6.866","6.844","-0.03%"
"Jan 20, 2020","6.858","6.882","6.891","6.858","0.01%"
"Jan 17, 2020","6.857","6.960","6.960","6.853","-0.22%"
"Jan 16, 2020","6.872","6.936","6.936","6.872","-0.30%"
"Jan 15, 2020","6.893","6.927","6.953","6.893","-0.27%"
"Jan 14, 2020","6.912","7.006","7.006","6.912","0.70%"
"Jan 13, 2020","6.864","6.893","6.945","6.864","0.19%"
"Jan 10, 2020","6.851","6.868","6.963","6.851","0.72%"
"Jan 09, 2020","6.802","6.843","6.912","6.802","-0.61%"
"Jan 08, 2020","6.844","6.921","6.921","6.842","0.12%"
"Jan 07, 2020","6.836","6.879","6.913","6.836","-0.20%"
"Jan 06, 2020","6.850","6.879","6.905","6.845","1.08%"
"Jan 03, 2020","6.777","6.828","6.828","6.768","-0.40%"
"Jan 02, 2020","6.804","6.829","6.923","6.804","-0.15%"
"Jan 01, 2020","6.814","6.881","6.881","6.814","-0.97%"
"Dec 31, 2019","6.881","6.899","6.899","6.873","0.23%"
"Dec 30, 2019","6.865","6.856","6.873","6.847","0.34%"
"Dec 27, 2019","6.842","6.861","6.861","6.835","-0.49%"
"Dec 26, 2019","6.876","6.940","6.940","6.876","-0.06%"
"Dec 24, 2019","6.880","6.871","6.930","6.871","0.12%"
"Dec 23, 2019","6.872","6.907","6.950","6.860","-0.38%"
"Dec 20, 2019","6.898","6.950","6.967","6.881","-1.27%"
"Dec 19, 2019","6.987","7.046","7.046","6.977","0.39%"
"Dec 18, 2019","6.960","7.029","7.038","6.960","-0.60%"
"Dec 17, 2019","7.002","7.030","7.030","7.002","-0.34%"
"Dec 16, 2019","7.026","7.047","7.047","7.026","0.11%"
"Dec 13, 2019","7.018","7.100","7.100","7.018","0.03%"
"Dec 12, 2019","7.016","7.035","7.041","7.016","0.39%"
"Dec 11, 2019","6.989","6.954","7.006","6.946","0.69%"
"Dec 10, 2019","6.941","6.946","6.968","6.929","0.54%"
"Dec 09, 2019","6.904","6.946","6.946","6.904","-0.25%"
"Dec 06, 2019","6.921","6.887","6.921","6.887","0.73%"
"Dec 05, 2019","6.871","6.820","6.897","6.820","2.38%"
"Dec 04, 2019","6.711","6.736","6.736","6.707","-0.13%"
"Dec 03, 2019","6.720","6.753","6.753","6.720","-0.25%"
"Dec 02, 2019","6.737","6.737","6.754","6.737","0.09%"
"Nov 29, 2019","6.731","6.746","6.746","6.731","0.06%"
"Nov 28, 2019","6.727","6.739","6.739","6.722","-0.18%"
"Nov 27, 2019","6.739","6.756","6.756","6.736","0.04%"
"Nov 26, 2019","6.736","6.757","6.757","6.736","0.28%"
"Nov 25, 2019","6.717","6.749","6.749","6.717","-0.40%"
"Nov 22, 2019","6.744","6.851","6.851","6.744","0.03%"
"Nov 21, 2019","6.742","6.717","6.784","6.717","0.45%"
"Nov 20, 2019","6.712","6.734","6.743","6.712","-0.46%"
"Nov 19, 2019","6.743","6.777","6.777","6.740","-0.34%"
"Nov 18, 2019","6.766","6.808","6.808","6.762","-0.18%"
"Nov 15, 2019","6.778","6.811","6.811","6.778","-0.26%"
"Nov 14, 2019","6.796","6.799","6.813","6.796","-0.13%"
"Nov 13, 2019","6.805","6.830","6.830","6.805","-0.69%"
"Nov 11, 2019","6.852","6.839","6.881","6.839","0.20%"
"Nov 08, 2019","6.838","6.840","6.882","6.820","0.37%"
"Nov 07, 2019","6.813","6.804","6.816","6.796","0.32%"
"Nov 06, 2019","6.791","6.850","6.850","6.791","-0.63%"
"Nov 05, 2019","6.834","6.834","6.851","6.808","0.50%"
"Nov 04, 2019","6.800","6.817","6.817","6.797","0.01%"
"Nov 01, 2019","6.799","6.826","6.826","6.771","0.03%"
"Oct 31, 2019","6.797","6.811","6.815","6.797","-0.21%"
"Oct 30, 2019","6.811","6.828","6.836","6.811","-0.04%"
"Oct 29, 2019","6.814","6.867","6.875","6.814","-0.09%"
"Oct 25, 2019","6.820","6.850","6.850","6.817","0.15%"
"Oct 24, 2019","6.810","6.860","6.860","6.810","-0.01%"
"Oct 23, 2019","6.811","6.835","6.835","6.811","-0.28%"
"Oct 22, 2019","6.830","6.836","6.845","6.819","0.26%"
"Oct 18, 2019","6.812","6.851","6.851","6.812","0.44%"
"Oct 17, 2019","6.782","6.788","6.889","6.778","-0.10%"
"Oct 16, 2019","6.789","6.822","6.822","6.778","-0.25%"
"Oct 15, 2019","6.806","6.823","6.856","6.806","-0.13%"
"Oct 14, 2019","6.815","6.873","6.873","6.814","-0.68%"
"Oct 11, 2019","6.862","6.824","6.891","6.824","0.94%"
"Oct 10, 2019","6.798","6.825","6.858","6.798","0.21%"
"Oct 09, 2019","6.784","6.826","6.834","6.767","4.84%"
"Oct 07, 2019","6.471","6.510","6.519","6.445","0.02%"
"Oct 04, 2019","6.470","6.445","6.483","6.390","0.61%"
"Oct 03, 2019","6.431","6.437","6.459","6.431","-0.86%"
"Oct 01, 2019","6.487","6.539","6.545","6.474","-1.04%"
"Sep 30, 2019","6.555","6.587","6.587","6.544","-0.58%"
"Sep 27, 2019","6.593","6.652","6.652","6.571","0.30%"
"Sep 26, 2019","6.573","6.644","6.644","6.560","-0.56%"
"Sep 25, 2019","6.610","6.616","6.638","6.600","-0.29%"
"Sep 24, 2019","6.629","6.612","6.651","6.582","0.47%"
"Sep 23, 2019","6.598","6.654","6.676","6.596","-1.09%"
"Sep 20, 2019","6.671","6.477","6.720","6.447","2.35%"
"Sep 19, 2019","6.518","6.505","6.534","6.455","0.31%"
"Sep 18, 2019","6.498","6.561","6.598","6.476","-1.31%"
"Sep 17, 2019","6.584","6.599","6.599","6.543","0.57%"
"Sep 16, 2019","6.547","6.562","6.588","6.521","0.94%"
"Sep 13, 2019","6.486","6.521","6.544","6.466","-0.18%"
"Sep 12, 2019","6.498","6.497","6.520","6.463","0.31%"
"Sep 11, 2019","6.478","6.434","6.507","6.417","1.31%"
"Sep 09, 2019","6.394","6.471","6.471","6.391","-0.47%"
"Sep 06, 2019","6.424","6.471","6.471","6.416","0.17%"
"Sep 05, 2019","6.413","6.444","6.463","6.399","0.22%"
"Sep 04, 2019","6.399","6.399","6.405","6.361","0.31%"
"Sep 03, 2019","6.379","6.390","6.412","6.376","-0.81%"
"Aug 30, 2019","6.431","6.455","6.458","6.431","0.19%"
"Aug 29, 2019","6.419","6.452","6.498","6.419","-0.30%"
"Aug 28, 2019","6.438","6.452","6.487","6.405","0.28%"
"Aug 27, 2019","6.420","6.314","6.471","6.292","0.86%"
"Aug 26, 2019","6.365","6.435","6.435","6.365","-1.33%"
"Aug 23, 2019","6.451","6.468","6.468","6.444","0.20%"
"Aug 22, 2019","6.438","6.509","6.509","6.429","-0.17%"
"Aug 21, 2019","6.449","6.484","6.484","6.425","-0.23%"
"Aug 20, 2019","6.464","6.528","6.537","6.464","-0.51%"
"Aug 19, 2019","6.497","6.620","6.620","6.497","0.36%"
"Aug 16, 2019","6.474","6.575","6.575","6.474","-1.54%"
"Aug 14, 2019","6.575","6.507","6.593","6.474","1.61%"
"Aug 13, 2019","6.471","6.548","6.548","6.448","0.59%"
"Aug 09, 2019","6.433","6.380","6.462","6.371","1.15%"
"Aug 08, 2019","6.360","6.369","6.389","6.318","0.03%"
"Aug 07, 2019","6.358","6.462","6.462","6.354","-1.47%"
"Aug 06, 2019","6.453","6.518","6.518","6.451","-1.01%"
"Aug 05, 2019","6.519","6.552","6.555","6.508","0.45%"
"Aug 02, 2019","6.490","6.508","6.528","6.473","-1.34%"
"Aug 01, 2019","6.578","6.556","6.600","6.538","0.84%"
"Jul 31, 2019","6.523","6.584","6.584","6.520","-0.40%"
"Jul 30, 2019","6.549","6.602","6.602","6.549","-0.43%"
"Jul 29, 2019","6.577","6.667","6.667","6.577","-1.84%"
"Jul 26, 2019","6.700","6.731","6.735","6.700","0.00%"
"Jul 25, 2019","6.700","6.647","6.732","6.614","1.47%"
"Jul 24, 2019","6.603","6.704","6.704","6.589","-0.32%"
"Jul 23, 2019","6.624","6.602","6.644","6.563","1.01%"
"Jul 22, 2019","6.558","6.585","6.595","6.545","1.14%"
"Jul 19, 2019","6.484","6.540","6.540","6.471","-0.31%"
"Jul 18, 2019","6.504","6.477","6.541","6.477","0.18%"
"Jul 17, 2019","6.492","6.432","6.545","6.414","0.36%"
"Jul 16, 2019","6.469","6.514","6.520","6.465","-0.83%"
"Jul 15, 2019","6.523","6.550","6.560","6.516","-0.73%"
"Jul 12, 2019","6.571","6.651","6.651","6.542","-0.12%"
"Jul 11, 2019","6.579","6.652","6.661","6.579","-0.41%"
"Jul 10, 2019","6.606","6.670","6.670","6.605","-0.62%"
"Jul 09, 2019","6.647","6.634","6.669","6.634","0.44%"
"Jul 08, 2019","6.618","6.808","6.808","6.618","-2.13%"
"Jul 05, 2019","6.762","6.845","6.845","6.704","-0.75%"
"Jul 04, 2019","6.813","6.901","6.911","6.809","-0.90%"
"Jul 03, 2019","6.875","6.874","6.886","6.855","-0.17%"
"Jul 02, 2019","6.887","6.902","6.929","6.887","-0.42%"
"Jul 01, 2019","6.916","6.948","6.976","6.916","0.07%"
"Jun 28, 2019","6.911","6.933","6.989","6.902","-0.32%"
"Jun 27, 2019","6.933","7.041","7.041","6.917","-0.23%"
"Jun 26, 2019","6.949","6.986","6.986","6.930","0.81%"
"Jun 25, 2019","6.893","6.865","6.902","6.847","0.75%"
"Jun 24, 2019","6.842","6.893","6.893","6.810","0.03%"
"Jun 21, 2019","6.840","6.847","6.884","6.827","0.72%"
"Jun 20, 2019","6.791","6.802","6.802","6.729","-0.48%"
"Jun 19, 2019","6.824","6.857","6.857","6.813","0.29%"
"Jun 18, 2019","6.804","6.909","6.909","6.802","-1.55%"
"Jun 17, 2019","6.911","6.931","6.931","6.894","0.16%"
"Jun 14, 2019","6.900","6.996","6.996","6.900","-1.16%"
"Jun 13, 2019","6.981","6.959","7.024","6.935","0.13%"
"Jun 12, 2019","6.972","6.996","7.006","6.969","-0.24%"
"Jun 11, 2019","6.989","7.099","7.099","6.989","-0.77%"
"Jun 10, 2019","7.043","7.043","7.052","6.997","1.22%"
"Jun 07, 2019","6.958","6.960","6.995","6.941","0.42%"
"Jun 06, 2019","6.929","7.052","7.052","6.888","-1.21%"
"Jun 04, 2019","7.014","7.006","7.025","6.969","0.78%"
"Jun 03, 2019","6.960","6.942","6.979","6.914","-1.42%"
"May 31, 2019","7.060","7.164","7.202","7.060","-1.33%"
"May 30, 2019","7.155","7.155","7.155","7.145","0.20%"
"May 29, 2019","7.141","7.202","7.202","7.136","-0.38%"
"May 28, 2019","7.168","7.202","7.202","7.136","-0.21%"
"May 27, 2019","7.183","7.221","7.250","7.180","-0.75%"
"May 24, 2019","7.237","7.222","7.241","7.203","0.06%"
"May 23, 2019","7.233","7.260","7.279","7.233","-0.37%"
"May 22, 2019","7.260","7.289","7.289","7.260","-0.23%"
"May 21, 2019","7.277","7.279","7.289","7.266","0.21%"
"May 20, 2019","7.262","7.298","7.346","7.260","-0.37%"
"May 17, 2019","7.289","7.290","7.379","7.289","0.26%"
"May 16, 2019","7.270","7.270","7.270","7.270","-0.18%"
"May 15, 2019","7.283","7.283","7.283","7.283","-0.03%"
"May 14, 2019","7.285","7.375","7.394","7.285","-0.34%"
"May 13, 2019","7.310","7.310","7.310","7.310","-1.47%"
"May 10, 2019","7.419","7.419","7.419","7.419","0.26%"
"May 09, 2019","7.400","7.400","7.400","7.400","0.26%"
"May 08, 2019","7.381","7.381","7.381","7.381","-0.05%"
"May 07, 2019","7.385","7.404","7.404","7.385","-0.20%"
"May 06, 2019","7.400","7.400","7.400","7.400","-0.19%"
"May 03, 2019","7.414","7.414","7.442","7.410","0.39%"
"May 02, 2019","7.385","7.433","7.433","7.385","-0.78%"
"Apr 30, 2019","7.443","7.443","7.481","7.433","0.00%"
"Apr 26, 2019","7.443","7.487","7.487","7.443","-0.59%"
"Apr 25, 2019","7.487","7.500","7.506","7.487","0.08%"
"Apr 24, 2019","7.481","7.506","7.510","7.479","-0.64%"
"Apr 23, 2019","7.529","7.519","7.587","7.519","0.13%"
"Apr 22, 2019","7.519","7.519","7.521","7.510","0.76%"
"Apr 18, 2019","7.462","7.433","7.539","7.433","0.51%"
"Apr 16, 2019","7.424","7.424","7.424","7.418","0.00%"
"Apr 15, 2019","7.424","7.443","7.443","7.424","-0.13%"
"Apr 12, 2019","7.434","7.418","7.443","7.418","0.34%"
"Apr 11, 2019","7.409","7.443","7.453","7.409","-0.20%"
"Apr 10, 2019","7.424","7.415","7.472","7.415","0.26%"
"Apr 09, 2019","7.405","7.434","7.434","7.405","-0.26%"
"Apr 08, 2019","7.424","7.405","7.443","7.386","1.10%"
"Apr 05, 2019","7.343","7.358","7.387","7.298","0.74%"
"Apr 04, 2019","7.289","7.264","7.340","7.206","0.91%"
"Apr 03, 2019","7.223","7.255","7.255","7.214","0.00%"
"Apr 02, 2019","7.223","7.340","7.340","7.223","-0.96%"
"Mar 29, 2019","7.293","7.308","7.340","7.274","0.12%"
"Mar 28, 2019","7.284","7.302","7.340","7.273","-0.08%"
"Mar 27, 2019","7.290","7.340","7.378","7.290","-0.10%"
"Mar 26, 2019","7.297","7.378","7.378","7.288","0.27%"
"Mar 25, 2019","7.277","7.290","7.290","7.277","-0.41%"
"Mar 22, 2019","7.307","7.299","7.322","7.293","-0.52%"
"Mar 20, 2019","7.345","7.359","7.395","7.337","-0.12%"
"Mar 19, 2019","7.354","7.322","7.369","7.309","0.71%"
"Mar 18, 2019","7.302","7.304","7.322","7.275","-0.23%"
"Mar 15, 2019","7.319","7.365","7.365","7.319","-0.48%"
"Mar 14, 2019","7.354","7.351","7.370","7.323","-0.14%"
"Mar 13, 2019","7.364","7.388","7.388","7.351","0.07%"
"Mar 12, 2019","7.359","7.436","7.436","7.347","-0.10%"
"Mar 11, 2019","7.366","7.389","7.389","7.360","-0.14%"
"Mar 08, 2019","7.376","7.417","7.417","7.376","-0.38%"
"Mar 07, 2019","7.404","7.426","7.426","7.404","0.05%"
"Mar 06, 2019","7.400","7.398","7.492","7.389","0.15%"
"Mar 05, 2019","7.389","7.417","7.417","7.384","0.00%"
"Mar 01, 2019","7.389","7.445","7.445","7.389","-0.26%"
"Feb 28, 2019","7.408","7.483","7.493","7.408","-0.63%"
"Feb 27, 2019","7.455","7.446","7.531","7.427","0.32%"
"Feb 26, 2019","7.431","7.456","7.456","7.431","0.05%"
"Feb 25, 2019","7.427","7.474","7.474","7.427","-0.26%"
"Feb 22, 2019","7.446","7.416","7.484","7.416","0.77%"
"Feb 21, 2019","7.389","7.475","7.475","7.389","0.03%"
"Feb 20, 2019","7.387","7.503","7.503","7.387","-0.38%"
"Feb 18, 2019","7.415","7.512","7.512","7.415","0.07%"
"Feb 15, 2019","7.410","7.419","7.447","7.408","0.38%"
"Feb 14, 2019","7.382","7.391","7.406","7.380","0.23%"
"Feb 13, 2019","7.365","7.429","7.429","7.354","-1.13%"
"Feb 12, 2019","7.449","7.466","7.485","7.449","0.12%"
"Feb 11, 2019","7.440","7.447","7.494","7.440","0.15%"
"Feb 08, 2019","7.429","7.476","7.494","7.401","0.09%"
"Feb 07, 2019","7.422","7.541","7.588","7.419","-1.34%"
"Feb 06, 2019","7.523","7.570","7.570","7.523","-0.52%"
"Feb 05, 2019","7.562","7.632","7.632","7.562","-0.62%"
"Feb 04, 2019","7.609","7.645","7.645","7.589","0.74%"
"Feb 01, 2019","7.553","7.448","7.621","7.402","1.60%"
"Jan 31, 2019","7.434","7.495","7.497","7.434","-0.76%"
"Jan 30, 2019","7.491","7.513","7.514","7.477","0.27%"
"Jan 29, 2019","7.471","7.497","7.497","7.471","-0.20%"
"Jan 28, 2019","7.486","7.503","7.510","7.486","0.05%"
"Jan 25, 2019","7.482","7.551","7.551","7.480","-0.25%"
"Jan 24, 2019","7.501","7.524","7.585","7.501","-0.23%"
"Jan 23, 2019","7.518","7.466","7.533","7.457","0.67%"
"Jan 22, 2019","7.468","7.505","7.505","7.458","-0.60%"
"Jan 21, 2019","7.513","7.589","7.597","7.495","-0.32%"
"Jan 18, 2019","7.537","7.552","7.561","7.505","0.75%"
"Jan 17, 2019","7.481","7.552","7.552","7.476","0.01%"
"Jan 16, 2019","7.480","7.409","7.487","7.385","1.03%"
"Jan 15, 2019","7.404","7.450","7.450","7.404","0.27%"
"Jan 14, 2019","7.384","7.422","7.422","7.374","-0.77%"
"Jan 11, 2019","7.441","7.426","7.478","7.397","0.24%"
"Jan 10, 2019","7.423","7.449","7.473","7.423","-0.07%"
"Jan 09, 2019","7.428","7.449","7.451","7.405","0.19%"
"Jan 08, 2019","7.414","7.515","7.523","7.398","-1.51%"
"Jan 07, 2019","7.528","7.488","7.540","7.469","0.79%"
"Jan 04, 2019","7.469","7.460","7.495","7.430","0.20%"
"Jan 03, 2019","7.454","7.495","7.495","7.412","0.89%"
"Jan 02, 2019","7.388","7.485","7.485","7.377","-0.65%"
"Jan 01, 2019","7.436","7.450","7.469","7.413","0.79%"
